"txn_year","pr","u_count"
2022-01-01 00:00:00.000 +0300,235,376
2023-01-01 00:00:00.000 +0300,244,2
2020-01-01 00:00:00.000 +0300,307,67
2024-01-01 00:00:00.000 +0300,173,36
2020-01-01 00:00:00.000 +0300,482,260
2022-01-01 00:00:00.000 +0300,30,1886
2023-01-01 00:00:00.000 +0300,162,145
2025-01-01 00:00:00.000 +0300,178,23
2022-01-01 00:00:00.000 +0300,200,2934
2024-01-01 00:00:00.000 +0300,168,23
2020-01-01 00:00:00.000 +0300,508,84
2025-01-01 00:00:00.000 +0300,623,361
2023-01-01 00:00:00.000 +0300,75,254
2024-01-01 00:00:00.000 +0300,140,1
2022-01-01 00:00:00.000 +0300,555,13
2024-01-01 00:00:00.000 +0300,147,13
2024-01-01 00:00:00.000 +0300,36,26
2024-01-01 00:00:00.000 +0300,555,9
2022-01-01 00:00:00.000 +0300,494,16
2020-01-01 00:00:00.000 +0300,538,9
2022-01-01 00:00:00.000 +0300,508,1500
2023-01-01 00:00:00.000 +0300,76,11
2025-01-01 00:00:00.000 +0300,164,71
2022-01-01 00:00:00.000 +0300,526,607
2023-01-01 00:00:00.000 +0300,421,118
2022-01-01 00:00:00.000 +0300,510,124
2024-01-01 00:00:00.000 +0300,564,18
2024-01-01 00:00:00.000 +0300,264,12
2021-01-01 00:00:00.000 +0300,116,183
2022-01-01 00:00:00.000 +0300,116,117
2024-01-01 00:00:00.000 +0300,234,1187
2024-01-01 00:00:00.000 +0300,12,2785
2025-01-01 00:00:00.000 +0300,108,65
2023-01-01 00:00:00.000 +0300,171,314
2020-01-01 00:00:00.000 +0300,159,16
2020-01-01 00:00:00.000 +0300,160,4
2020-01-01 00:00:00.000 +0300,543,5
2021-01-01 00:00:00.000 +0300,580,10
2025-01-01 00:00:00.000 +0300,443,1
2025-01-01 00:00:00.000 +0300,496,12
2021-01-01 00:00:00.000 +0300,198,771
2020-01-01 00:00:00.000 +0300,69,2
2020-01-01 00:00:00.000 +0300,102,28
2021-01-01 00:00:00.000 +0300,492,413
2024-01-01 00:00:00.000 +0300,402,364
2022-01-01 00:00:00.000 +0300,427,957
2023-01-01 00:00:00.000 +0300,204,502
2021-01-01 00:00:00.000 +0300,93,1618
2021-01-01 00:00:00.000 +0300,212,348
2024-01-01 00:00:00.000 +0300,454,58
2021-01-01 00:00:00.000 +0300,250,40
2023-01-01 00:00:00.000 +0300,265,11
2020-01-01 00:00:00.000 +0300,176,110
2024-01-01 00:00:00.000 +0300,211,14
2025-01-01 00:00:00.000 +0300,530,20
2021-01-01 00:00:00.000 +0300,533,557
2022-01-01 00:00:00.000 +0300,252,15
2021-01-01 00:00:00.000 +0300,311,1205
2024-01-01 00:00:00.000 +0300,136,209
2025-01-01 00:00:00.000 +0300,103,1405
2021-01-01 00:00:00.000 +0300,73,5403
2024-01-01 00:00:00.000 +0300,22,461
2023-01-01 00:00:00.000 +0300,627,21
2020-01-01 00:00:00.000 +0300,485,14
2021-01-01 00:00:00.000 +0300,104,282
2022-01-01 00:00:00.000 +0300,87,139
2025-01-01 00:00:00.000 +0300,485,14
2025-01-01 00:00:00.000 +0300,411,1
2024-01-01 00:00:00.000 +0300,482,3113
2023-01-01 00:00:00.000 +0300,528,398
2021-01-01 00:00:00.000 +0300,528,793
2023-01-01 00:00:00.000 +0300,267,325
2024-01-01 00:00:00.000 +0300,460,14
2024-01-01 00:00:00.000 +0300,172,54
2023-01-01 00:00:00.000 +0300,624,124
2022-01-01 00:00:00.000 +0300,243,21
2021-01-01 00:00:00.000 +0300,172,58
2025-01-01 00:00:00.000 +0300,177,207
2024-01-01 00:00:00.000 +0300,105,377
2023-01-01 00:00:00.000 +0300,241,849
2025-01-01 00:00:00.000 +0300,409,1
2024-01-01 00:00:00.000 +0300,526,146
2021-01-01 00:00:00.000 +0300,575,6
2023-01-01 00:00:00.000 +0300,114,53
2023-01-01 00:00:00.000 +0300,10,3899
2020-01-01 00:00:00.000 +0300,93,713
2020-01-01 00:00:00.000 +0300,593,8
2024-01-01 00:00:00.000 +0300,490,170
2021-01-01 00:00:00.000 +0300,519,14
2022-01-01 00:00:00.000 +0300,485,140
2021-01-01 00:00:00.000 +0300,149,8
2020-01-01 00:00:00.000 +0300,436,17
2021-01-01 00:00:00.000 +0300,529,740
2025-01-01 00:00:00.000 +0300,232,571
2025-01-01 00:00:00.000 +0300,185,45
2023-01-01 00:00:00.000 +0300,17,7759
2022-01-01 00:00:00.000 +0300,502,3245
2024-01-01 00:00:00.000 +0300,687,297
2024-01-01 00:00:00.000 +0300,254,4
2024-01-01 00:00:00.000 +0300,121,49
2024-01-01 00:00:00.000 +0300,96,2557
2024-01-01 00:00:00.000 +0300,87,72
2024-01-01 00:00:00.000 +0300,203,1066
2020-01-01 00:00:00.000 +0300,172,30
2024-01-01 00:00:00.000 +0300,637,38
2025-01-01 00:00:00.000 +0300,175,11
2020-01-01 00:00:00.000 +0300,120,53
2022-01-01 00:00:00.000 +0300,539,119
2021-01-01 00:00:00.000 +0300,312,165
2021-01-01 00:00:00.000 +0300,602,1
2022-01-01 00:00:00.000 +0300,405,877
2023-01-01 00:00:00.000 +0300,563,127
2022-01-01 00:00:00.000 +0300,499,500
2022-01-01 00:00:00.000 +0300,642,1
